block_name,block_score
model.layers.0,92.7602767944336
model.layers.1,149.51783752441406
model.layers.2,161.85777282714844
model.layers.3,176.3861846923828
model.layers.4,171.3469696044922
model.layers.5,169.71617126464844
model.layers.6,162.1147003173828
model.layers.7,163.48867797851562
model.layers.8,161.4091796875
model.layers.9,154.56153869628906
model.layers.10,151.69778442382812
model.layers.11,141.8616943359375
model.layers.12,140.30859375
model.layers.13,142.84683227539062
model.layers.14,138.88504028320312
model.layers.15,135.33633422851562
model.layers.16,135.85977172851562
model.layers.17,134.3262939453125
model.layers.18,131.16690063476562
model.layers.19,129.7310791015625
model.layers.20,121.51136779785156
model.layers.21,117.28038024902344
model.layers.22,111.84773254394531
model.layers.23,113.12596130371094
model.layers.24,109.43043518066406
model.layers.25,106.63023376464844
model.layers.26,105.56803131103516
model.layers.27,103.76880645751953
model.layers.28,99.63221740722656
model.layers.29,101.82231903076172
model.layers.30,101.77029418945312
model.layers.31,116.03247833251953
model.norm.weight,1.7500532865524292
lm_head.weight,34.69709777832031
