block_name,block_score
model.layers.0,62.58297348022461
model.layers.1,152.3351287841797
model.layers.2,209.5590362548828
model.layers.3,206.1315155029297
model.layers.4,214.87144470214844
model.layers.5,209.90582275390625
model.layers.6,203.8300018310547
model.layers.7,194.7279815673828
model.layers.8,190.9716796875
model.layers.9,178.68637084960938
model.layers.10,177.2108917236328
model.layers.11,175.35977172851562
model.layers.12,170.41932678222656
model.layers.13,160.66555786132812
model.layers.14,159.43577575683594
model.layers.15,156.8946533203125
model.layers.16,160.45542907714844
model.layers.17,148.9503936767578
model.layers.18,141.02932739257812
model.layers.19,135.37179565429688
model.layers.20,133.7357177734375
model.layers.21,123.53266906738281
model.layers.22,124.11912536621094
model.layers.23,118.50408172607422
model.layers.24,112.8482894897461
model.layers.25,113.33358001708984
model.layers.26,112.14228820800781
model.layers.27,111.44023132324219
model.layers.28,116.32024383544922
model.layers.29,116.03186798095703
model.layers.30,119.5512466430664
model.layers.31,127.08746337890625
model.norm.weight,2.7372055053710938
lm_head.weight,50.75984191894531
