rank,block_name,block_score,block_index
1,model.layers.0,62.58297348022461,0
2,model.layers.27,111.44023132324219,27
3,model.layers.26,112.14228820800781,26
4,model.layers.24,112.8482894897461,24
5,model.layers.25,113.33358001708984,25
6,model.layers.29,116.03186798095703,29
7,model.layers.28,116.32024383544922,28
8,model.layers.23,118.50408172607422,23
9,model.layers.30,119.5512466430664,30
10,model.layers.21,123.53266906738281,21
11,model.layers.22,124.11912536621094,22
12,model.layers.31,127.08746337890625,31
13,model.layers.20,133.7357177734375,20
14,model.layers.19,135.37179565429688,19
15,model.layers.18,141.02932739257812,18
16,model.layers.17,148.9503936767578,17
17,model.layers.1,152.3351287841797,1
18,model.layers.15,156.8946533203125,15
19,model.layers.14,159.43577575683594,14
20,model.layers.16,160.45542907714844,16
21,model.layers.13,160.66555786132812,13
22,model.layers.12,170.41932678222656,12
23,model.layers.11,175.35977172851562,11
24,model.layers.10,177.2108917236328,10
25,model.layers.9,178.68637084960938,9
26,model.layers.8,190.9716796875,8
27,model.layers.7,194.7279815673828,7
28,model.layers.6,203.8300018310547,6
29,model.layers.3,206.1315155029297,3
30,model.layers.2,209.5590362548828,2
31,model.layers.5,209.90582275390625,5
32,model.layers.4,214.87144470214844,4
