block_name,block_score
model.layers.0,45.080875396728516
model.layers.1,100.17770385742188
model.layers.2,131.83474731445312
model.layers.3,142.4425048828125
model.layers.4,137.6631622314453
model.layers.5,128.26669311523438
model.layers.6,120.8110122680664
model.layers.7,111.07685852050781
model.layers.8,110.82243347167969
model.layers.9,105.23260498046875
model.layers.10,99.53565216064453
model.layers.11,94.07147216796875
model.layers.12,87.98274993896484
model.layers.13,87.25029754638672
model.layers.14,86.59150695800781
model.layers.15,88.77706146240234
model.layers.16,86.92015075683594
model.layers.17,81.8424301147461
model.layers.18,79.19283294677734
model.layers.19,76.52070617675781
model.layers.20,75.21426391601562
model.layers.21,67.73408508300781
model.layers.22,69.01390075683594
model.layers.23,66.96346282958984
model.layers.24,65.90477752685547
model.layers.25,64.9111099243164
model.layers.26,65.15023040771484
model.layers.27,64.46083068847656
model.layers.28,63.63429260253906
model.layers.29,65.11629486083984
model.layers.30,71.25631713867188
model.layers.31,92.12889862060547
model.norm.weight,2.098890781402588
lm_head.weight,46.13923645019531
