block_name,block_score
model.layers.0,4168547.25
model.layers.1,5092692.5
model.layers.2,5480370.5
model.layers.3,5437561.0
model.layers.4,5451061.5
model.layers.5,5405841.5
model.layers.6,5427276.5
model.layers.7,5465640.0
model.layers.8,5415412.0
model.layers.9,5476924.0
model.layers.10,5468958.0
model.layers.11,5485725.5
model.layers.12,5510169.5
model.layers.13,5499369.0
model.layers.14,5519746.5
model.layers.15,5515679.0
model.layers.16,5531115.0
model.layers.17,5535928.0
model.layers.18,5528365.0
model.layers.19,5523697.0
model.layers.20,5540773.0
model.layers.21,5539942.0
model.layers.22,5539957.0
model.layers.23,5563605.0
model.layers.24,5542357.0
model.layers.25,5554517.0
model.layers.26,5571070.0
model.layers.27,5571872.5
model.layers.28,5566926.0
model.layers.29,5594416.0
model.layers.30,5594093.5
model.layers.31,5602843.5
model.layers.32,5612474.5
model.layers.33,5631096.5
model.layers.34,5639332.0
model.layers.35,5614600.0
model.layers.36,5621363.0
model.layers.37,5621431.5
model.layers.38,5602929.5
model.layers.39,5576416.0
model.norm.weight,6274.09033203125
lm_head.weight,2712167.5
