boolq,piqa,hellaswag,winogrande,arc_easy,arc_challenge,openbookqa,AVE
acc,acc,acc_norm,acc,acc,acc_norm,acc_norm,n/a
77.73700305810397,78.0739934711643,75.98088030272854,69.06077348066299,76.34680134680136,46.2457337883959,44.2,66.80645506397958
