block_name,block_score
model.layers.0,38.28395080566406
model.layers.1,83.44947052001953
model.layers.2,114.82275390625
model.layers.3,113.87042236328125
model.layers.4,115.85497283935547
model.layers.5,112.55335998535156
model.layers.6,103.71424102783203
model.layers.7,97.91926574707031
model.layers.8,96.56534576416016
model.layers.9,90.76698303222656
model.layers.10,89.19412231445312
model.layers.11,88.32996368408203
model.layers.12,85.81465911865234
model.layers.13,82.26164245605469
model.layers.14,81.8464584350586
model.layers.15,80.11695861816406
model.layers.16,82.70027160644531
model.layers.17,79.55989074707031
model.layers.18,76.40058898925781
model.layers.19,73.43599700927734
model.layers.20,72.52970886230469
model.layers.21,67.93121337890625
model.layers.22,67.7896957397461
model.layers.23,66.82574462890625
model.layers.24,62.11370849609375
model.layers.25,62.44770812988281
model.layers.26,62.26047134399414
model.layers.27,60.342132568359375
model.layers.28,63.392879486083984
model.layers.29,63.148963928222656
model.layers.30,70.24874877929688
model.layers.31,82.99002838134766
model.norm.weight,2.124668598175049
lm_head.weight,48.46839141845703
