block_name,all_weight_scores
model.layers.0,353646.0,366986.875,172102.0625,146311.046875,602279.3125,586786.25,732615.625,125.33100891113281,297.72613525390625
model.layers.1,401905.5,404857.8125,147828.203125,141180.875,770195.5625,732557.6875,753501.0625,397.3682861328125,419.7955322265625
model.layers.2,462600.90625,467385.3125,185122.125,185103.5,813343.75,742795.0,754938.1875,527.946533203125,553.5393676757812
model.layers.3,382687.625,397118.1875,220218.828125,219128.5625,822953.4375,757418.4375,758495.25,857.0628051757812,668.2222900390625
model.layers.4,389094.25,392372.0625,218267.140625,218317.875,831902.125,760375.6875,755234.9375,988.0082397460938,720.7307739257812
model.layers.5,371395.125,374238.5625,222977.71875,222287.65625,847748.5625,757119.375,748809.75,1165.2769775390625,763.7483520507812
model.layers.6,377537.34375,384478.84375,224493.5625,224674.25,835872.5625,766276.5,755501.8125,1176.971923828125,798.30322265625
model.layers.7,368624.875,371265.90625,231176.65625,229552.8125,826494.75,769502.25,757836.5,1191.2679443359375,815.7646484375
model.layers.8,360212.71875,360420.6875,229232.1875,228794.84375,825054.625,771696.125,757648.125,1263.59033203125,827.9105224609375
model.layers.9,347796.9375,350027.9375,227753.46875,227288.5,812778.0625,776363.5625,762413.5,1335.98486328125,844.6514282226562
model.layers.10,351909.5,354001.0,235905.515625,236827.46875,807771.6875,786212.8125,769805.9375,1367.03857421875,873.4174194335938
model.layers.11,366197.96875,369402.78125,248195.03125,248279.625,802889.4375,790569.875,774694.4375,1255.2967529296875,890.9119873046875
model.layers.12,345771.09375,349179.3125,240112.140625,243894.0,808348.75,796002.6875,776962.0625,1455.0196533203125,943.9700317382812
model.layers.13,338094.375,341291.9375,250648.515625,252707.96875,806633.5,803878.75,784496.6875,1523.08056640625,979.8837890625
model.layers.14,341461.34375,343158.3125,253067.40625,253477.671875,805682.25,806847.75,788275.4375,1506.857177734375,1026.9085693359375
model.layers.15,341061.5625,344462.125,253644.9375,254099.796875,807330.9375,807560.3125,788983.3125,1510.45068359375,1067.4913330078125
model.layers.16,340350.375,346859.875,270158.96875,269442.15625,812699.875,804961.25,787794.1875,1498.4132080078125,1135.814208984375
model.layers.17,332031.875,336807.78125,271870.28125,273066.25,816230.0,807720.875,792077.6875,1593.918701171875,1197.4862060546875
model.layers.18,326004.09375,328081.875,271644.84375,272468.71875,823334.75,805333.875,791904.5625,1638.4632568359375,1270.078125
model.layers.19,321264.15625,323565.125,283988.21875,283466.65625,828830.5,803548.5,793217.0,1624.26123046875,1325.09228515625
model.layers.20,328102.3125,331676.46875,293702.71875,290796.8125,833565.75,804466.5625,794867.3125,1697.777099609375,1383.71728515625
model.layers.21,314803.4375,316190.34375,295937.5625,292401.25,838894.3125,803356.9375,795340.3125,1734.6441650390625,1451.3966064453125
model.layers.22,322096.75,324237.03125,294115.6875,293323.84375,840735.875,806905.375,799248.75,1802.394287109375,1504.0738525390625
model.layers.23,308482.75,308076.375,305384.875,300762.1875,842407.9375,808690.125,801863.0,1836.321533203125,1564.6416015625
model.layers.24,310448.8125,311176.71875,309681.1875,305649.625,843590.4375,813351.375,805598.4375,1943.454833984375,1617.6541748046875
model.layers.25,322426.9375,325886.25,310442.84375,307679.40625,844837.75,816428.0,808222.9375,2007.4664306640625,1674.72216796875
model.layers.26,317957.8125,321435.625,320151.625,317367.5,843946.6875,822126.4375,813087.4375,2107.4609375,1717.4930419921875
model.layers.27,317421.1875,320310.9375,325659.375,324016.96875,842161.0,825348.9375,816261.9375,2120.69189453125,1772.94775390625
model.layers.28,308335.90625,309469.5625,326290.625,327064.625,838102.3125,829063.9375,818295.3125,2063.61669921875,1815.6888427734375
model.layers.29,307053.375,309736.5625,336832.28125,337201.0,837897.6875,833422.375,817169.0,2137.13134765625,1856.283203125
model.layers.30,310671.21875,313551.34375,331371.8125,336339.25,842305.375,838787.1875,800610.0,2069.16796875,1859.0667724609375
model.layers.31,314096.25,320819.4375,297091.59375,297423.34375,877138.375,868338.625,815383.5625,1665.7054443359375,1648.2540283203125
model.norm.weight,6583.98486328125
lm_head.weight,2072557.875
