rank,block_name,block_score,block_index
1,model.layers.0,2961150.25,0
2,model.layers.1,3352843.75,1
3,model.layers.9,3506602.5,9
4,model.layers.8,3535150.5,8
5,model.layers.10,3544674.25,10
6,model.layers.5,3546505.5,5
7,model.layers.7,3556460.75,7
8,model.layers.3,3559545.5,3
9,model.layers.12,3562669.0,12
10,model.layers.4,3567272.75,4
11,model.layers.6,3570810.0,6
12,model.layers.13,3580254.75,13
13,model.layers.14,3594503.75,14
14,model.layers.15,3599720.75,15
15,model.layers.11,3602375.25,11
16,model.layers.2,3612370.25,2
17,model.layers.18,3621681.25,18
18,model.layers.17,3632596.25,17
19,model.layers.16,3634901.0,16
20,model.layers.19,3640829.5,19
21,model.layers.21,3660110.25,21
22,model.layers.23,3679068.25,23
23,model.layers.20,3680259.25,20
24,model.layers.22,3683969.75,22
25,model.layers.24,3703058.0,24
26,model.layers.25,3739606.5,25
27,model.layers.26,3759898.25,26
28,model.layers.28,3760501.5,28
29,model.layers.27,3775074.25,27
30,model.layers.30,3777564.5,30
31,model.layers.29,3783305.75,29
32,model.layers.31,3793605.25,31
