block_name,block_score
model.layers.0,168.673828125
model.layers.1,194.40122985839844
model.layers.2,134.4687957763672
model.layers.3,135.61097717285156
model.layers.4,140.91494750976562
model.layers.5,134.4409637451172
model.layers.6,128.34854125976562
model.layers.7,117.57703399658203
model.layers.8,107.08932495117188
model.layers.9,112.26464080810547
model.layers.10,111.93478393554688
model.layers.11,107.0809097290039
model.layers.12,102.72657775878906
model.layers.13,97.92469787597656
model.layers.14,92.38542175292969
model.layers.15,92.88106536865234
model.layers.16,97.80978393554688
model.layers.17,106.25111389160156
model.layers.18,105.20240783691406
model.layers.19,117.15113830566406
model.layers.20,114.48939514160156
model.layers.21,108.8012466430664
model.layers.22,96.29423522949219
model.layers.23,106.33429718017578
model.layers.24,106.49588775634766
model.layers.25,134.74571228027344
model.layers.26,140.15382385253906
model.layers.27,185.53236389160156
model.norm.weight,8.773262023925781
