block_name,block_score
model.layers.0,55.99259948730469
model.layers.1,139.8682861328125
model.layers.2,188.82261657714844
model.layers.3,196.9929656982422
model.layers.4,195.5623016357422
model.layers.5,186.59695434570312
model.layers.6,184.6680908203125
model.layers.7,179.40603637695312
model.layers.8,171.60630798339844
model.layers.9,173.0088348388672
model.layers.10,172.80877685546875
model.layers.11,169.16705322265625
model.layers.12,168.1537322998047
model.layers.13,164.11448669433594
model.layers.14,160.51710510253906
model.layers.15,151.87893676757812
model.layers.16,149.9930877685547
model.layers.17,148.43743896484375
model.layers.18,141.91282653808594
model.layers.19,139.65017700195312
model.layers.20,139.68649291992188
model.layers.21,132.05105590820312
model.layers.22,129.55471801757812
model.layers.23,121.95841979980469
model.layers.24,116.60861206054688
model.layers.25,117.48605346679688
model.layers.26,112.50053405761719
model.layers.27,110.63790893554688
model.layers.28,111.43929290771484
model.layers.29,107.80304718017578
model.layers.30,106.77068328857422
model.layers.31,106.01634979248047
model.layers.32,101.7054214477539
model.layers.33,101.46046447753906
model.layers.34,102.2769775390625
model.layers.35,103.82877349853516
model.layers.36,98.6308822631836
model.layers.37,103.52600860595703
model.layers.38,110.04368591308594
model.layers.39,110.73606872558594
model.norm.weight,2.4047398567199707
lm_head.weight,45.42731475830078
