rank,block_name,block_score,block_index
1,model.layers.10,82.56829071044922,10
2,model.layers.9,82.75910186767578,9
3,model.layers.8,83.9195785522461,8
4,model.layers.11,85.6671142578125,11
5,model.layers.15,87.6958999633789,15
6,model.layers.12,88.08443450927734,12
7,model.layers.7,88.5400390625,7
8,model.layers.14,91.46379089355469,14
9,model.layers.13,92.70361328125,13
10,model.layers.16,94.95154571533203,16
11,model.layers.6,98.05038452148438,6
12,model.layers.5,107.47276306152344,5
13,model.layers.4,110.38849639892578,4
14,model.layers.3,118.87013244628906,3
15,model.layers.2,122.79991912841797,2
16,model.layers.17,130.31358337402344,17
17,model.layers.1,134.89947509765625,1
18,model.layers.0,166.05105590820312,0
