boolq,piqa,hellaswag,winogrande,arc_easy,arc_challenge,openbookqa,AVE
acc,acc,acc_norm,acc,acc,acc_norm,acc_norm,n/a
71.80428134556574,74.42872687704026,67.64588727345149,63.85161799526441,69.31818181818183,38.99317406143344,39.6,60.80598133870531
